description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;430,653,448,662;2;;90;257.09;435.29;89.32;3.29;3.88
;;;;237,653,255,662;2;;270;227.91;435.65;87.38;3.29;3.88
;;;;396,653,429,662;2;;90;257.09;444.97;89.32;6.03;3.88
;;;;256,653,289,662;2;;270;227.91;445.34;87.38;6.03;3.88
;;;;396,647,448,652;0;;90;257.09;441.5;97.09;9.5;1.94
;;;;438,663,448,746;0;;90;257.09;433.83;43.69;1.83;39.81
;;;;237,663,247,746;0;;270;227.91;434.19;41.75;1.83;39.81
;;;;237,647,289,652;0;;270;227.91;441.87;95.15;9.5;1.94
;;;;396,663,437,746;0;;90;257.09;443.51;43.69;7.49;39.81
;;;;248,663,289,746;0;;270;227.91;443.88;41.75;7.49;39.81
