description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;135,13,250,43;2;;0;187.38;161;82.2;13.38;12.71
;;;;135,44,250,73;2;;0;187.38;161;56.36;13.38;12.29
;;;;135,74,250,102;2;;0;187.38;161;31.36;13.38;11.86
;;;;23,125,50,163;2;;270;174.23;166.94;82.92;5.94;11.25
;;;;52,125,80,163;2;;270;174.23;166.94;58.33;5.94;11.67
;;;;82,125,109,163;2;;270;174.23;166.94;33.75;5.94;11.25
;;;;342,125,362,165;2;;90;200.77;167.25;86.44;6.25;8.47
;;;;275,136,325,154;2;;90;200.77;167.25;42.37;2.81;21.19
;;;;23,164,50,205;2;;270;174.23;179.59;82.92;6.41;11.25
;;;;52,164,80,205;2;;270;174.23;179.59;58.33;6.41;11.67
;;;;82,164,109,205;2;;270;174.23;179.59;33.75;6.41;11.25
;;;;342,166,362,205;2;;90;200.77;179.91;86.44;6.09;8.47
;;;;275,176,325,194;2;;90;200.77;179.75;42.37;2.81;21.19
;;;;135,228,250,256;2;;180;187.38;185.69;31.93;13.38;11.76
;;;;135,257,250,286;2;;180;187.38;185.69;56.72;13.38;12.18
;;;;135,287,250,317;2;;180;187.38;185.69;82.35;13.38;12.61
;;;;135,9,250,12;0;;0;187.38;161;97.03;13.38;1.27
;;;;135,103,250,106;0;;0;187.38;161;17.37;13.38;1.27
;;;;135,107,250,124;0;;0;187.38;161;8.05;13.38;7.2
;;;;18,125,21,205;0;;270;174.23;173.5;97.08;12.5;1.25
;;;;111,125,113,205;0;;270;174.23;173.5;20;12.5;0.83
;;;;115,125,133,205;0;;270;174.23;173.5;10;12.5;7.5
;;;;252,125,270,135;0;;90;200.77;162.56;9.32;1.56;7.63
;;;;272,125,274,135;0;;90;200.77;162.56;19.49;1.56;0.85
;;;;275,125,340,128;0;;90;200.77;161.47;48.73;0.47;27.54
;;;;364,125,366,205;0;;90;200.77;173.5;97.46;12.5;0.85
;;;;275,129,340,132;0;;90;200.77;162.72;48.73;0.47;27.54
;;;;275,132,340,135;0;;90;200.77;163.66;48.73;0.47;27.54
;;;;335,135,337,195;0;;90;200.77;173.5;72.88;9.38;0.85
;;;;339,135,341,195;0;;90;200.77;173.5;76.27;9.38;0.85
;;;;252,136,270,154;0;;90;200.77;167.25;9.32;2.81;7.63
;;;;272,136,274,154;0;;90;200.77;167.25;19.49;2.81;0.85
;;;;327,136,334,194;0;;90;200.77;173.5;68.22;9.06;2.97
;;;;252,176,270,194;0;;90;200.77;179.75;9.32;2.81;7.63
;;;;272,176,274,194;0;;90;200.77;179.75;19.49;2.81;0.85
;;;;252,195,270,205;0;;90;200.77;184.44;9.32;1.56;7.63
;;;;272,195,274,205;0;;90;200.77;184.44;19.49;1.56;0.85
;;;;275,195,340,198;0;;90;200.77;183.34;48.73;0.47;27.54
;;;;275,198,340,201;0;;90;200.77;184.28;48.73;0.47;27.54
;;;;275,202,340,205;0;;90;200.77;185.53;48.73;0.47;27.54
;;;;135,206,250,223;0;;180;187.38;185.69;8.82;13.38;7.14
;;;;135,224,250,227;0;;180;187.38;185.69;18.07;13.38;1.26
;;;;135,318,250,321;0;;180;187.38;185.69;97.06;13.38;1.26
