description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;131,22,246,52;2;;0;186.38;98.33;82.35;13.38;12.61
;;;;131,53,246,82;2;;0;186.38;98.33;56.72;13.38;12.18
;;;;131,83,246,111;2;;0;186.38;98.33;31.93;13.38;11.76
;;;;19,134,46,172;2;;270;173.23;104.18;82.92;6.18;11.25
;;;;48,134,76,172;2;;270;173.23;104.18;58.33;6.18;11.67
;;;;78,134,105,172;2;;270;173.23;104.18;33.75;6.18;11.25
;;;;271,134,301,151;2;;90;199.77;100.76;33.33;2.76;12.5
;;;;303,134,336,151;2;;90;199.77;100.76;61.25;2.76;13.75
;;;;338,134,358,167;2;;90;199.77;103.36;85;5.36;8.33
;;;;338,168,358,214;2;;90;199.77;116.53;85;7.48;8.33
;;;;19,173,46,214;2;;270;173.23;117.34;82.92;6.66;11.25
;;;;48,173,76,214;2;;270;173.23;117.34;58.33;6.66;11.67
;;;;78,173,105,214;2;;270;173.23;117.34;33.75;6.66;11.25
;;;;271,189,301,214;2;;90;199.77;119.94;33.33;4.06;12.5
;;;;303,189,336,214;2;;90;199.77;119.94;61.25;4.06;13.75
;;;;131,237,246,265;2;;180;186.38;123.68;31.93;13.38;11.76
;;;;131,266,246,295;2;;180;186.38;123.68;56.72;13.38;12.18
;;;;131,296,246,326;2;;180;186.38;123.68;82.35;13.38;12.61
;;;;131,18,246,21;0;;0;186.38;98.33;97.06;13.38;1.26
;;;;131,112,246,115;0;;0;186.38;98.33;18.07;13.38;1.26
;;;;131,116,246,133;0;;0;186.38;98.33;8.82;13.38;7.14
;;;;14,134,17,214;0;;270;173.23;111;97.08;13;1.25
;;;;107,134,109,214;0;;270;173.23;111;20;13;0.83
;;;;111,134,129,214;0;;270;173.23;111;10;13;7.5
;;;;248,134,264,151;0;;90;199.77;100.76;8.33;2.76;6.67
;;;;266,134,269,151;0;;90;199.77;100.76;17.92;2.76;1.25
;;;;360,134,363,214;0;;90;199.77;111;96.25;13;1.25
;;;;324,152,336,188;0;;90;199.77;109.7;70;5.85;5
;;;;248,189,264,214;0;;90;199.77;119.94;8.33;4.06;6.67
;;;;266,189,269,214;0;;90;199.77;119.94;17.92;4.06;1.25
;;;;131,215,246,232;0;;180;186.38;123.68;8.82;13.38;7.14
;;;;131,233,246,236;0;;180;186.38;123.68;18.07;13.38;1.26
;;;;131,327,246,330;0;;180;186.38;123.68;97.06;13.38;1.26
