description;volume;page;plate;polygon;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
Weihrauch und Libation;6;157;145;26,1063,61,1096;Chassinat/6_157.jpg;270;123;450.63;81.86;7.92;15.49
Speiseopfer;6;104;145;64,1063,97,1096;Chassinat/6_104.jpg;270;123;450.63;49.12;7.92;14.6
Anch- und Was-Zeichen darreichen;6;157;145;26,1026,61,1060;Chassinat/6_157.jpg;270;123;433.11;81.86;8.16;15.49
Doppelkrone darreichen;6;105;145;64,1026,97,1060;Chassinat/6_105.jpg;270;123;433.11;49.12;8.16;14.6
Begrüßen mit Nemset-Krug;6;003;145;100,1026,134,1060;Chassinat/6_003.jpg;270;123;433.11;16.81;8.16;15.04
Fleischstücke darreichen;6;158;145;26,951,61,1023;Chassinat/6_158.jpg;270;123;406.21;81.86;17.29;15.49
Opferspeisen herbeitragen;6;106;145;64,951,97,1023;Chassinat/6_106.jpg;270;123;406.21;49.12;17.29;14.6
Doppelfederkrone darreichen;6;055;145;100,951,134,1023;Chassinat/6_055.jpg;270;123;406.21;16.81;17.29;15.04
Maat darreichen;6;161;146;26,915,61,948;Chassinat/6_161.jpg;270;123;379.56;81.86;7.92;15.49
Herbeitragen der Opferspeisen;6;107;146;64,915,97,948;Chassinat/6_107.jpg;270;123;379.56;49.12;7.92;14.6
Den Gott schauen;6;058;146;100,915,134,948;Chassinat/6_058.jpg;270;123;379.56;16.81;7.92;15.04
;;;;26,890,61,912;#;270;123;364.91;81.86;5.28;15.49
;;;;64,890,97,912;#;270;123;364.91;49.12;5.28;14.6
;;;;100,890,134,912;#;270;123;364.91;16.81;5.28;15.04
Myrrhe darreichen;6;162;146;26,839,61,887;Chassinat/6_162.jpg;270;123;346.66;81.86;11.53;15.49
Fruchtgetränk darreichen;6;132;146;64,839,97,887;Chassinat/6_132.jpg;270;123;346.66;49.12;11.53;14.6
Horusmythos;6;086;146;100,839,134,861;Chassinat/6_086.jpg;270;123;340.41;16.81;5.28;15.04
Horusmythos;6;087;146;100,864,134,887;Chassinat/6_087.jpg;270;123;352.66;16.81;5.52;15.04
;;;;26,814,61,836;#;270;123;328.41;81.86;5.28;15.49
;;;;64,814,97,836;#;270;123;328.41;49.12;5.28;14.6
;;;;100,814,134,836;#;270;123;328.41;16.81;5.28;15.04
Gottesstein darreichen;6;165;146;26,766,61,811;Chassinat/6_165.jpg;270;123;310.88;81.86;10.81;15.49
Horusmythos;6;129;146;64,766,97,811;Chassinat/6_129.jpg;270;123;310.88;49.12;10.81;14.6
Horusmythos;6;084;146;100,766,134,811;Chassinat/6_084.jpg;270;123;310.88;16.81;10.81;15.04
;;;;26,741,61,763;#;270;123;293.35;81.86;5.28;15.49
;;;;64,741,97,763;#;270;123;293.35;49.12;5.28;14.6
;;;;100,741,134,763;#;270;123;293.35;16.81;5.28;15.04
Ti-schepes-Öl darreichen;6;166;146;26,692,61,738;Chassinat/6_166.jpg;270;123;275.58;81.86;11.05;15.49
Horusmythos;6;127;146;64,692,97,738;Chassinat/6_127.jpg;270;123;275.58;49.12;11.05;14.6
