description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;139,25,154,40;2;;0;167.33;229;86.8;2.33;6
;;;;157,25,173,40;2;;0;173.07;229;86.8;2.48;6
;;;;176,25,191,40;2;;0;178.81;229;86.8;2.33;6
;;;;194,25,210,40;2;;0;184.55;229;86.8;2.48;6
;;;;213,25,254,56;2;;0;194.33;229;80.4;6.36;12.4
;;;;139,42,154,57;2;;0;167.33;229;73.2;2.33;6
;;;;157,42,173,57;2;;0;173.07;229;73.2;2.48;6
;;;;176,42,191,57;2;;0;178.81;229;73.2;2.33;6
;;;;194,42,210,57;2;;0;184.55;229;73.2;2.48;6
;;;;139,59,254,87;2;;0;182.84;229;54.4;17.84;11.2
;;;;154,89,254,112;2;;0;185.17;229;32.4;15.52;9.2
;;;;26,141,52,180;2;;270;165;235.75;81.97;6.75;10.66
;;;;283,141,307,159;2;;90;201;232.12;33.9;3.12;10.17
;;;;310,141,337,159;2;;90;201;232.12;58.05;3.12;11.44
;;;;340,141,364,190;2;;90;201;237.48;82.2;8.48;10.17
;;;;283,161,317,175;2;;90;201;238.35;38.14;2.42;14.41
;;;;55,166,82,180;2;;270;165;240.08;57.79;2.42;11.07
;;;;85,166,110,180;2;;270;165;240.08;34.02;2.42;10.25
;;;;26,182,52,219;2;;270;165;249.6;81.97;6.4;10.66
;;;;55,182,82,219;2;;270;165;249.6;57.79;6.4;11.07
;;;;85,182,110,219;2;;270;165;249.6;34.02;6.4;10.25
;;;;340,192,364,219;2;;90;201;251.33;82.2;4.67;10.17
;;;;283,205,317,219;2;;90;201;253.58;38.14;2.42;14.41
;;;;139,248,254,271;2;;180;182.84;256;32.66;17.84;9.27
;;;;139,273,254,301;2;;180;182.84;256;54.84;17.84;11.29
;;;;139,303,147,318;2;;180;166.24;256;73.79;1.24;6.05
;;;;150,303,166,318;2;;180;170.9;256;73.79;2.48;6.05
;;;;169,303,177,318;2;;180;175.55;256;73.79;1.24;6.05
;;;;180,303,196,318;2;;180;180.21;256;73.79;2.48;6.05
;;;;199,303,254,335;2;;180;192.16;256;80.65;8.53;12.9
;;;;139,320,147,335;2;;180;166.24;256;87.5;1.24;6.05
;;;;150,320,166,335;2;;180;170.9;256;87.5;2.48;6.05
;;;;169,320,178,335;2;;180;175.71;256;87.5;1.4;6.05
;;;;181,320,196,335;2;;180;180.36;256;87.5;2.33;6.05
;;;;138,19,254,23;0;;0;182.69;229;96;18;1.6
;;;;154,114,254,118;0;;0;185.17;229;20;15.52;1.6
;;;;154,120,254,139;0;;0;185.17;229;9.2;15.52;7.6
;;;;20,141,23,219;0;;270;165;242.5;96.31;13.5;1.23
;;;;55,141,94,164;0;;270;165;232.98;52.87;3.98;15.98
;;;;257,141,274,159;0;;90;201;232.12;8.9;3.12;7.2
;;;;277,141,280,159;0;;90;201;232.12;19.92;3.12;1.27
;;;;367,141,370,219;0;;90;201;242.5;96.19;13.5;1.27
;;;;257,161,274,175;0;;90;201;238.35;8.9;2.42;7.2
;;;;277,161,280,175;0;;90;201;238.35;19.92;2.42;1.27
;;;;320,161,337,219;0;;90;201;245.96;62.29;10.04;7.2
;;;;113,166,116,219;0;;270;165;246.83;20.08;9.17;1.23
;;;;119,166,136,219;0;;270;165;246.83;9.43;9.17;6.97
;;;;257,205,274,219;0;;90;201;253.58;8.9;2.42;7.2
;;;;277,205,280,219;0;;90;201;253.58;19.92;2.42;1.27
;;;;139,221,254,240;0;;180;182.84;256;9.27;17.84;7.66
;;;;139,242,254,246;0;;180;182.84;256;20.16;17.84;1.61
;;;;139,337,254,341;0;;180;182.84;256;96.77;17.84;1.61
;;;;394,161,405,219;2;;270;209;245.19;81.46;10.81;6.18
;;;;478,192,518,202;2;;180;203.5;248.54;67.16;4.5;29.85
;;;;386,161,391,219;0;;270;209;245.19;93.82;10.81;2.81
;;;;408,161,447,178;0;;270;209;237.54;50;3.17;21.91
;;;;450,161,453,178;0;;270;209;237.54;23.03;3.17;1.69
;;;;456,161,468,178;0;;270;209;237.54;11.24;3.17;6.74
;;;;408,203,447,219;0;;270;209;253.02;50;2.98;21.91
;;;;450,203,453,219;0;;270;209;253.02;23.03;2.98;1.69
;;;;456,203,468,219;0;;270;209;253.02;11.24;2.98;6.74
;;;;520,192,524,202;0;;180;203.5;248.54;31.34;4.5;2.99
;;;;526,192,539,202;0;;180;203.5;248.54;15.67;4.5;9.7
